"","state_abbrev","district_code","bioname_107","bioname_108","bioname_109","bioname_110","bioname_111","bioname_112","bioname_113","bioname_114","bioname_115","bioname_116","bioname_117","party_code_107","party_code_108","party_code_109","party_code_110","party_code_111","party_code_112","party_code_113","party_code_114","party_code_115","party_code_116","party_code_117","nominate_dim1_107","nominate_dim1_108","nominate_dim1_109","nominate_dim1_110","nominate_dim1_111","nominate_dim1_112","nominate_dim1_113","nominate_dim1_114","nominate_dim1_115","nominate_dim1_116","nominate_dim1_117"
"63","CA",22,"CAPPS, Lois","THOMAS, William Marshall","THOMAS, William Marshall","MCCARTHY, Kevin","MCCARTHY, Kevin","MCCARTHY, Kevin","NUNES, Devin","NUNES, Devin","NUNES, Devin","NUNES, Devin","NUNES, Devin",100,200,200,200,200,200,200,200,200,200,200,-0.389,0.371,0.371,0.455,0.455,0.455,0.45,0.45,0.45,0.45,0.45
"64","CA",44,"BONO, Mary","CALVERT, Ken","CALVERT, Ken","CALVERT, Ken","CALVERT, Ken","CALVERT, Ken","HAHN, Janice","HAHN, Janice","BARRAGÁN, Nanette Diaz","BARRAGÁN, Nanette Diaz","BARRAGÁN, Nanette Diaz",200,200,200,200,200,200,100,100,100,100,100,0.353,0.35,0.35,0.35,0.35,0.35,-0.39,-0.39,-0.515,-0.515,-0.515
"65","CA",9,"LEE, Barbara","LEE, Barbara","LEE, Barbara","LEE, Barbara","LEE, Barbara","LEE, Barbara","McNERNEY, Jerry","McNERNEY, Jerry","McNERNEY, Jerry","McNERNEY, Jerry","McNERNEY, Jerry",100,100,100,100,100,100,100,100,100,100,100,-0.681,-0.681,-0.681,-0.681,-0.681,-0.681,-0.263,-0.263,-0.263,-0.263,-0.263
"66","CA",1,"THOMPSON, Michael","THOMPSON, Michael","THOMPSON, Michael","THOMPSON, Michael","THOMPSON, Michael","THOMPSON, Michael","LaMALFA, Doug","LaMALFA, Doug","LaMALFA, Doug","LaMALFA, Doug","LaMALFA, Doug",100,100,100,100,100,100,200,200,200,200,200,-0.395,-0.395,-0.395,-0.395,-0.395,-0.395,0.532,0.532,0.532,0.532,0.532
"67","CA",3,"OSE, Doug","OSE, Doug","LUNGREN, Daniel Edward","LUNGREN, Daniel Edward","LUNGREN, Daniel Edward","LUNGREN, Daniel Edward","GARAMENDI, John","GARAMENDI, John","GARAMENDI, John","GARAMENDI, John","GARAMENDI, John",200,200,200,200,200,200,100,100,100,100,100,0.289,0.289,0.497,0.497,0.497,0.497,-0.309,-0.309,-0.309,-0.309,-0.309
"68","CA",34,"NAPOLITANO, Grace Flores","ROYBAL-ALLARD, Lucille","ROYBAL-ALLARD, Lucille","ROYBAL-ALLARD, Lucille","ROYBAL-ALLARD, Lucille","ROYBAL-ALLARD, Lucille","BECERRA, Xavier","BECERRA, Xavier","GOMEZ, Jimmy","GOMEZ, Jimmy","GOMEZ, Jimmy",100,100,100,100,100,100,100,100,100,100,100,-0.448,-0.469,-0.469,-0.469,-0.469,-0.469,-0.512,-0.512,-0.579,-0.579,-0.579
"69","CA",41,"MILLER, Gary G.","LEWIS, Charles Jeremy (Jerry)","LEWIS, Charles Jeremy (Jerry)","LEWIS, Charles Jeremy (Jerry)","LEWIS, Charles Jeremy (Jerry)","LEWIS, Charles Jeremy (Jerry)","TAKANO, Mark","TAKANO, Mark","TAKANO, Mark","TAKANO, Mark","TAKANO, Mark",200,200,200,200,200,200,100,100,100,100,100,0.478,0.348,0.348,0.348,0.348,0.348,-0.465,-0.465,-0.465,-0.465,-0.465
"70","CA",42,"BACA, Joe","MILLER, Gary G.","MILLER, Gary G.","MILLER, Gary G.","MILLER, Gary G.","MILLER, Gary G.","CALVERT, Ken","CALVERT, Ken","CALVERT, Ken","CALVERT, Ken","CALVERT, Ken",100,200,200,200,200,200,200,200,200,200,200,-0.349,0.478,0.478,0.478,0.478,0.478,0.35,0.35,0.35,0.35,0.35
"71","CO",5,"HEFLEY, Joel M.","HEFLEY, Joel M.","HEFLEY, Joel M.","LAMBORN, Doug","LAMBORN, Doug","LAMBORN, Doug","LAMBORN, Doug","LAMBORN, Doug","LAMBORN, Doug","LAMBORN, Doug","LAMBORN, Doug",200,200,200,200,200,200,200,200,200,200,200,0.591,0.591,0.591,0.674,0.674,0.674,0.674,0.674,0.674,0.674,0.674
"72","CO",3,"McINNIS, Scott","McINNIS, Scott","SALAZAR, John","SALAZAR, John","SALAZAR, John","TIPTON, Scott","TIPTON, Scott","TIPTON, Scott","TIPTON, Scott","TIPTON, Scott","BOEBERT, Lauren",200,200,100,100,100,200,200,200,200,200,200,0.391,0.391,-0.277,-0.277,-0.277,0.451,0.451,0.451,0.451,0.451,0.796
"73","CO",1,"DeGETTE, Diana","DeGETTE, Diana","DeGETTE, Diana","DeGETTE, Diana","DeGETTE, Diana","DeGETTE, Diana","DeGETTE, Diana","DeGETTE, Diana","DeGETTE, Diana","DeGETTE, Diana","DeGETTE, Diana",100,100,100,100,100,100,100,100,100,100,100,-0.431,-0.431,-0.431,-0.431,-0.431,-0.431,-0.431,-0.431,-0.431,-0.431,-0.431
"74","CO",4,"SCHAFFER, Robert W.","MUSGRAVE, Marilyn N","MUSGRAVE, Marilyn N","MUSGRAVE, Marilyn N","MARKEY, Betsy","GARDNER, Cory","GARDNER, Cory","BUCK, Kenneth Robert","BUCK, Kenneth Robert","BUCK, Kenneth Robert","BUCK, Kenneth Robert",200,200,200,200,100,200,200,200,200,200,200,0.638,0.565,0.565,0.565,-0.19,0.444,0.444,0.725,0.725,0.725,0.725
"75","CO",2,"UDALL, Mark","UDALL, Mark","UDALL, Mark","UDALL, Mark","POLIS, Jared","POLIS, Jared","POLIS, Jared","POLIS, Jared","POLIS, Jared","NEGUSE, Joseph","NEGUSE, Joseph",100,100,100,100,100,100,100,100,100,100,100,-0.353,-0.353,-0.353,-0.353,-0.278,-0.278,-0.278,-0.278,-0.278,-0.381,-0.381
"76","CO",6,"TANCREDO, Thomas G.","TANCREDO, Thomas G.","TANCREDO, Thomas G.","TANCREDO, Thomas G.","COFFMAN, Mike","COFFMAN, Mike","COFFMAN, Mike","COFFMAN, Mike","COFFMAN, Mike","CROW, Jason","CROW, Jason",200,200,200,200,200,200,200,200,200,100,100,0.75,0.75,0.75,0.75,0.492,0.492,0.492,0.492,0.492,-0.276,-0.276
"77","CT",6,"JOHNSON, Nancy Lee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","CT",4,"SHAYS, Christopher H.","SHAYS, Christopher H.","SHAYS, Christopher H.","SHAYS, Christopher H.","HIMES, James A.","HIMES, James A.","HIMES, James A.","HIMES, James A.","HIMES, James A.","HIMES, James A.","HIMES, James A.",200,200,200,200,100,100,100,100,100,100,100,0.129,0.129,0.129,0.129,-0.242,-0.242,-0.242,-0.242,-0.242,-0.242,-0.242
"79","CT",2,"SIMMONS, Robert (Rob)","SIMMONS, Robert (Rob)","SIMMONS, Robert (Rob)","COURTNEY, Joe","COURTNEY, Joe","COURTNEY, Joe","COURTNEY, Joe","COURTNEY, Joe","COURTNEY, Joe","COURTNEY, Joe","COURTNEY, Joe",200,200,200,100,100,100,100,100,100,100,100,0.171,0.171,0.171,-0.343,-0.343,-0.343,-0.343,-0.343,-0.343,-0.343,-0.343
"80","CT",3,"DeLAURO, Rosa L.","DeLAURO, Rosa L.","DeLAURO, Rosa L.","DeLAURO, Rosa L.","DeLAURO, Rosa L.","DeLAURO, Rosa L.","DeLAURO, Rosa L.","DeLAURO, Rosa L.","DeLAURO, Rosa L.","DeLAURO, Rosa L.","DeLAURO, Rosa L.",100,100,100,100,100,100,100,100,100,100,100,-0.416,-0.416,-0.416,-0.416,-0.416,-0.416,-0.416,-0.416,-0.416,-0.416,-0.416
"81","CT",5,"MALONEY, James H.","JOHNSON, Nancy Lee","JOHNSON, Nancy Lee","MURPHY, Christopher","MURPHY, Christopher","MURPHY, Christopher","ESTY, Elizabeth","ESTY, Elizabeth","ESTY, Elizabeth","HAYES, Jahana","HAYES, Jahana",100,200,200,100,100,100,100,100,100,100,100,-0.244,0.122,0.122,-0.27,-0.27,-0.27,-0.315,-0.315,-0.315,-0.363,-0.363
"82","CT",1,"LARSON, John B.","LARSON, John B.","LARSON, John B.","LARSON, John B.","LARSON, John B.","LARSON, John B.","LARSON, John B.","LARSON, John B.","LARSON, John B.","LARSON, John B.","LARSON, John B.",100,100,100,100,100,100,100,100,100,100,100,-0.397,-0.397,-0.397,-0.397,-0.397,-0.397,-0.397,-0.397,-0.397,-0.397,-0.397
"83","DE",1,"CASTLE, Michael Newbold","CASTLE, Michael Newbold","CASTLE, Michael Newbold","CASTLE, Michael Newbold","CASTLE, Michael Newbold","CARNEY, John C., Jr.","CARNEY, John C., Jr.","CARNEY, John C., Jr.","BLUNT ROCHESTER, Lisa","BLUNT ROCHESTER, Lisa","BLUNT ROCHESTER, Lisa",200,200,200,200,200,100,100,100,100,100,100,0.229,0.229,0.229,0.229,0.229,-0.256,-0.256,-0.256,-0.333,-0.333,-0.333
"84","FL",10,"YOUNG, Charles William (Bill)","YOUNG, Charles William (Bill)","YOUNG, Charles William (Bill)","YOUNG, Charles William (Bill)","YOUNG, Charles William (Bill)","YOUNG, Charles William (Bill)","WEBSTER, Daniel A.","WEBSTER, Daniel A.","DEMINGS, Valdez Butler","DEMINGS, Valdez Butler","DEMINGS, Valdez Butler",200,200,200,200,200,200,200,200,100,100,100,0.325,0.325,0.325,0.325,0.325,0.325,0.514,0.514,-0.328,-0.328,-0.328
"85","FL",22,"SHAW, Eugene Clay, Jr.","SHAW, Eugene Clay, Jr.","SHAW, Eugene Clay, Jr.","KLEIN, Ron","KLEIN, Ron","WEST, Allen","FRANKEL, Lois","FRANKEL, Lois","DEUTCH, Theodore E. (Ted)","DEUTCH, Theodore E. (Ted)","DEUTCH, Theodore E. (Ted)",200,200,200,100,100,200,100,100,100,100,100,0.3,0.3,0.3,-0.265,-0.265,0.451,-0.401,-0.401,-0.401,-0.401,-0.401
"86","FL",9,"BILIRAKIS, Michael","BILIRAKIS, Michael","BILIRAKIS, Michael","BILIRAKIS, Gus","BILIRAKIS, Gus","BILIRAKIS, Gus","GRAYSON, Alan","GRAYSON, Alan","SOTO, Darren Michael","SOTO, Darren Michael","SOTO, Darren Michael",200,200,200,200,200,200,100,100,100,100,100,0.382,0.382,0.382,0.404,0.404,0.404,-0.363,-0.363,-0.376,-0.376,-0.376
"87","FL",14,"GOSS, Porter J.","GOSS, Porter J.","MACK, Connie, IV","MACK, Connie, IV","MACK, Connie, IV","MACK, Connie, IV","CASTOR, Kathy","CASTOR, Kathy","CASTOR, Kathy","CASTOR, Kathy","CASTOR, Kathy",200,200,200,200,200,200,100,100,100,100,100,0.421,0.421,0.601,0.601,0.601,0.601,-0.438,-0.438,-0.438,-0.438,-0.438
"88","FL",6,"STEARNS, Clifford Bundy","STEARNS, Clifford Bundy","STEARNS, Clifford Bundy","STEARNS, Clifford Bundy","STEARNS, Clifford Bundy","STEARNS, Clifford Bundy","DeSANTIS, Ron","DeSANTIS, Ron","DeSANTIS, Ron","WALTZ, Michael","WALTZ, Michael",200,200,200,200,200,200,200,200,200,200,200,0.554,0.554,0.554,0.554,0.554,0.554,0.663,0.663,0.663,0.414,0.414
"89","FL",18,"ROS-LEHTINEN, Ileana","ROS-LEHTINEN, Ileana","ROS-LEHTINEN, Ileana","ROS-LEHTINEN, Ileana","ROS-LEHTINEN, Ileana","ROS-LEHTINEN, Ileana","MURPHY, Patrick","MURPHY, Patrick","MAST, Brian Jeffery","MAST, Brian Jeffery","MAST, Brian Jeffery",200,200,200,200,200,200,100,100,200,200,200,0.244,0.244,0.244,0.244,0.244,0.244,-0.186,-0.186,0.455,0.455,0.455
"90","FL",1,"MILLER, Jefferson B. (Jeff)","MILLER, Jefferson B. (Jeff)","MILLER, Jefferson B. (Jeff)","MILLER, Jefferson B. (Jeff)","MILLER, Jefferson B. (Jeff)","MILLER, Jefferson B. (Jeff)","MILLER, Jefferson B. (Jeff)","MILLER, Jefferson B. (Jeff)","GAETZ, Matthew L. II","GAETZ, Matthew L. II","GAETZ, Matthew L. II",200,200,200,200,200,200,200,200,200,200,200,0.633,0.633,0.633,0.633,0.633,0.633,0.633,0.633,0.622,0.622,0.622
"91","FL",4,"CRENSHAW, Ander","CRENSHAW, Ander","CRENSHAW, Ander","CRENSHAW, Ander","CRENSHAW, Ander","CRENSHAW, Ander","CRENSHAW, Ander","CRENSHAW, Ander","RUTHERFORD, John Henry","RUTHERFORD, John Henry","RUTHERFORD, John Henry",200,200,200,200,200,200,200,200,200,200,200,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.424,0.424,0.424
"92","FL",8,"KELLER, Richard (Ric)","KELLER, Richard (Ric)","KELLER, Richard (Ric)","KELLER, Richard (Ric)","GRAYSON, Alan","WEBSTER, Daniel A.","POSEY, Bill","POSEY, Bill","POSEY, Bill","POSEY, Bill","POSEY, Bill",200,200,200,200,100,200,200,200,200,200,200,0.458,0.458,0.458,0.458,-0.363,0.514,0.527,0.527,0.527,0.527,0.527
"93","FL",12,"PUTNAM, Adam","PUTNAM, Adam","PUTNAM, Adam","PUTNAM, Adam","PUTNAM, Adam","ROSS, Dennis","BILIRAKIS, Gus","BILIRAKIS, Gus","BILIRAKIS, Gus","BILIRAKIS, Gus","BILIRAKIS, Gus",200,200,200,200,200,200,200,200,200,200,200,0.414,0.414,0.414,0.414,0.414,0.531,0.404,0.404,0.404,0.404,0.404
"94","FL",3,"BROWN, Corrine","BROWN, Corrine","BROWN, Corrine","BROWN, Corrine","BROWN, Corrine","BROWN, Corrine","YOHO, Ted","YOHO, Ted","YOHO, Ted","YOHO, Ted","CAMMACK, Kat",100,100,100,100,100,100,200,200,200,200,200,-0.429,-0.429,-0.429,-0.429,-0.429,-0.429,0.704,0.704,0.704,0.704,0.66
"95","FL",5,"THURMAN, Karen L.","BROWN-WAITE, Virginia (Ginny)","BROWN-WAITE, Virginia (Ginny)","BROWN-WAITE, Virginia (Ginny)","BROWN-WAITE, Virginia (Ginny)","NUGENT, Richard","BROWN, Corrine","BROWN, Corrine","LAWSON, Alfred Jr.","LAWSON, Alfred Jr.","LAWSON, Alfred Jr.",100,200,200,200,200,200,100,100,100,100,100,-0.304,0.36,0.36,0.36,0.36,0.483,-0.429,-0.429,-0.259,-0.259,-0.259
"96","FL",7,"MICA, John L.","MICA, John L.","MICA, John L.","MICA, John L.","MICA, John L.","MICA, John L.","MICA, John L.","MICA, John L.","MURPHY, Stephanie","MURPHY, Stephanie","MURPHY, Stephanie",200,200,200,200,200,200,200,200,100,100,100,0.453,0.453,0.453,0.453,0.453,0.453,0.453,0.453,-0.16,-0.16,-0.16
"97","FL",13,"MILLER, Daniel","HARRIS, Katherine","HARRIS, Katherine","BUCHANAN, Vernon G.","BUCHANAN, Vernon G.","BUCHANAN, Vernon G.","YOUNG, Charles William (Bill)","JOLLY, David W.","CRIST, Charlie Joseph Jr.","CRIST, Charlie Joseph Jr.","CRIST, Charlie Joseph Jr.",200,200,200,200,200,200,200,200,100,100,100,0.453,0.452,0.452,0.361,0.361,0.361,0.325,0.23,-0.224,-0.224,-0.224
"98","FL",17,"MEEK, Carrie P.","MEEK, Kendrick B.","MEEK, Kendrick B.","MEEK, Kendrick B.","MEEK, Kendrick B.","WILSON, Frederica","ROONEY, Thomas J.","ROONEY, Thomas J.","ROONEY, Thomas J.","STEUBE, William","STEUBE, William",100,100,100,100,100,100,200,200,200,200,200,-0.483,-0.363,-0.363,-0.363,-0.363,-0.478,0.458,0.458,0.458,0.675,0.675
"99","FL",20,"DEUTSCH, Peter R.","DEUTSCH, Peter R.","WASSERMAN SCHULTZ, Debbie","WASSERMAN SCHULTZ, Debbie","WASSERMAN SCHULTZ, Debbie","WASSERMAN SCHULTZ, Debbie","HASTINGS, Alcee Lamar","HASTINGS, Alcee Lamar","HASTINGS, Alcee Lamar","HASTINGS, Alcee Lamar","CHERFILUS-MCCORMICK, Sheila",100,100,100,100,100,100,100,100,100,100,100,-0.324,-0.324,-0.42,-0.42,-0.42,-0.42,-0.564,-0.564,-0.564,-0.564,-0.662
"100","FL",21,"DIAZ-BALART, Lincoln","DIAZ-BALART, Lincoln","DIAZ-BALART, Lincoln","DIAZ-BALART, Lincoln","DIAZ-BALART, Lincoln","DIAZ-BALART, Mario","DEUTCH, Theodore E. (Ted)","DEUTCH, Theodore E. (Ted)","FRANKEL, Lois","FRANKEL, Lois","FRANKEL, Lois",200,200,200,200,200,200,100,100,100,100,100,0.243,0.243,0.243,0.243,0.243,0.282,-0.401,-0.401,-0.401,-0.401,-0.401
"101","FL",23,"HASTINGS, Alcee Lamar","HASTINGS, Alcee Lamar","HASTINGS, Alcee Lamar","HASTINGS, Alcee Lamar","HASTINGS, Alcee Lamar","HASTINGS, Alcee Lamar","WASSERMAN SCHULTZ, Debbie","WASSERMAN SCHULTZ, Debbie","WASSERMAN SCHULTZ, Debbie","WASSERMAN SCHULTZ, Debbie","WASSERMAN SCHULTZ, Debbie",100,100,100,100,100,100,100,100,100,100,100,-0.564,-0.564,-0.564,-0.564,-0.564,-0.564,-0.42,-0.42,-0.42,-0.42,-0.42
"102","FL",15,"WELDON, David Joseph","WELDON, David Joseph","WELDON, David Joseph","WELDON, David Joseph","POSEY, Bill","POSEY, Bill","ROSS, Dennis","ROSS, Dennis","ROSS, Dennis","SPANO, Ross","FRANKLIN, C. Scott",200,200,200,200,200,200,200,200,200,200,200,0.471,0.471,0.471,0.471,0.527,0.527,0.531,0.531,0.531,0.462,0.596
"103","FL",16,"FOLEY, Mark A.","FOLEY, Mark A.","FOLEY, Mark A.","MAHONEY, Tim","ROONEY, Thomas J.","ROONEY, Thomas J.","BUCHANAN, Vernon G.","BUCHANAN, Vernon G.","BUCHANAN, Vernon G.","BUCHANAN, Vernon G.","BUCHANAN, Vernon G.",200,200,200,100,200,200,200,200,200,200,200,0.311,0.311,0.311,-0.163,0.458,0.458,0.361,0.361,0.361,0.361,0.361
"104","FL",2,"BOYD, F. Allen, Jr.","BOYD, F. Allen, Jr.","BOYD, F. Allen, Jr.","BOYD, F. Allen, Jr.","BOYD, F. Allen, Jr.","SOUTHERLAND, Steve","SOUTHERLAND, Steve","GRAHAM, Gwendolyn (Gwen)","DUNN, Neal Patrick","DUNN, Neal Patrick","DUNN, Neal Patrick",100,100,100,100,100,200,200,100,200,200,200,-0.181,-0.181,-0.181,-0.181,-0.181,0.56,0.56,-0.233,0.522,0.522,0.522
"105","FL",11,"DAVIS, Jim","DAVIS, Jim","DAVIS, Jim","CASTOR, Kathy","CASTOR, Kathy","CASTOR, Kathy","NUGENT, Richard","NUGENT, Richard","WEBSTER, Daniel A.","WEBSTER, Daniel A.","WEBSTER, Daniel A.",100,100,100,100,100,100,200,200,200,200,200,-0.278,-0.278,-0.278,-0.438,-0.438,-0.438,0.483,0.483,0.514,0.514,0.514
"106","FL",19,"WEXLER, Robert","WEXLER, Robert","WEXLER, Robert","WEXLER, Robert","DEUTCH, Theodore E. (Ted)","DEUTCH, Theodore E. (Ted)","RADEL, Trey","CLAWSON, Curt","ROONEY, Francis","ROONEY, Francis","DONALDS, Byron",100,100,100,100,100,100,200,200,200,200,200,-0.392,-0.392,-0.392,-0.392,-0.401,-0.401,0.702,0.626,0.501,0.501,0.681
"107","GA",5,"LEWIS, John R.","LEWIS, John R.","LEWIS, John R.","LEWIS, John R.","LEWIS, John R.","LEWIS, John R.","LEWIS, John R.","LEWIS, John R.","LEWIS, John R.","LEWIS, John R.","WILLIAMS, Nikema",100,100,100,100,100,100,100,100,100,100,100,-0.589,-0.589,-0.589,-0.589,-0.589,-0.589,-0.589,-0.589,-0.589,-0.589,-0.352
"108","GA",1,"KINGSTON, Jack","KINGSTON, Jack","KINGSTON, Jack","KINGSTON, Jack","KINGSTON, Jack","KINGSTON, Jack","KINGSTON, Jack","CARTER, Buddy","CARTER, Buddy","CARTER, Buddy","CARTER, Buddy",200,200,200,200,200,200,200,200,200,200,200,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.58,0.58,0.58,0.58
"109","GA",2,"BISHOP, Sanford Dixon, Jr.","BISHOP, Sanford Dixon, Jr.","BISHOP, Sanford Dixon, Jr.","BISHOP, Sanford Dixon, Jr.","BISHOP, Sanford Dixon, Jr.","BISHOP, Sanford Dixon, Jr.","BISHOP, Sanford Dixon, Jr.","BISHOP, Sanford Dixon, Jr.","BISHOP, Sanford Dixon, Jr.","BISHOP, Sanford Dixon, Jr.","BISHOP, Sanford Dixon, Jr.",100,100,100,100,100,100,100,100,100,100,100,-0.283,-0.283,-0.283,-0.283,-0.283,-0.283,-0.283,-0.283,-0.283,-0.283,-0.283
"110","GA",3,"COLLINS, Michael Allen (Mac)","MARSHALL, Jim","MARSHALL, Jim","WESTMORELAND, Lynn A.","WESTMORELAND, Lynn A.","WESTMORELAND, Lynn A.","WESTMORELAND, Lynn A.","WESTMORELAND, Lynn A.","FERGUSON, Anderson Drew IV","FERGUSON, Anderson Drew IV","FERGUSON, Anderson Drew IV",200,100,100,200,200,200,200,200,200,200,200,0.536,-0.119,-0.119,0.672,0.672,0.672,0.672,0.672,0.602,0.602,0.602
"111","GA",11,"LINDER, John Elmer","GINGREY, Phil","GINGREY, Phil","GINGREY, Phil","GINGREY, Phil","GINGREY, Phil","GINGREY, Phil","LOUDERMILK, Barry D.","LOUDERMILK, Barry D.","LOUDERMILK, Barry D.","LOUDERMILK, Barry D.",200,200,200,200,200,200,200,200,200,200,200,0.559,0.561,0.561,0.561,0.561,0.561,0.561,0.688,0.688,0.688,0.688
"112","GA",4,"McKINNEY, Cynthia Ann","MAJETTE, Denise L.","McKINNEY, Cynthia Ann","JOHNSON, Hank","JOHNSON, Hank","JOHNSON, Hank","JOHNSON, Hank","JOHNSON, Hank","JOHNSON, Hank","JOHNSON, Hank","JOHNSON, Hank",100,100,100,100,100,100,100,100,100,100,100,-0.533,-0.364,-0.533,-0.469,-0.469,-0.469,-0.469,-0.469,-0.469,-0.469,-0.469
"113","GA",7,"BARR, Bob","LINDER, John Elmer","LINDER, John Elmer","LINDER, John Elmer","LINDER, John Elmer","WOODALL, Rob","WOODALL, Rob","WOODALL, Rob","WOODALL, Rob","WOODALL, Rob","BOURDEAUX, Carolyn",200,200,200,200,200,200,200,200,200,200,100,0.632,0.559,0.559,0.559,0.559,0.593,0.593,0.593,0.593,0.593,-0.356
"114","GA",8,"CHAMBLISS, Saxby","COLLINS, Michael Allen (Mac)","WESTMORELAND, Lynn A.","MARSHALL, Jim","MARSHALL, Jim","SCOTT, Austin","SCOTT, Austin","SCOTT, Austin","SCOTT, Austin","SCOTT, Austin","SCOTT, Austin",200,200,200,100,100,200,200,200,200,200,200,0.423,0.536,0.672,-0.119,-0.119,0.564,0.564,0.564,0.564,0.564,0.564
"115","GA",10,"NORWOOD, Charles W., Jr.","DEAL, John Nathan","DEAL, John Nathan","BROUN, Paul C., Jr.","BROUN, Paul C., Jr.","BROUN, Paul C., Jr.","BROUN, Paul C., Jr.","HICE, Jody Brownlow","HICE, Jody Brownlow","HICE, Jody Brownlow","HICE, Jody Brownlow",200,200,200,200,200,200,200,200,200,200,200,0.533,0.581,0.581,0.913,0.913,0.913,0.913,0.79,0.79,0.79,0.79
"116","GA",6,"ISAKSON, Johnny","ISAKSON, Johnny","PRICE, Tom","PRICE, Tom","PRICE, Tom","PRICE, Tom","PRICE, Tom","PRICE, Tom","PRICE, Tom","McBATH, Lucy","McBATH, Lucy",200,200,200,200,200,200,200,200,200,100,100,0.402,0.402,0.644,0.644,0.644,0.644,0.644,0.644,0.644,-0.271,-0.271
"117","GA",9,"DEAL, John Nathan","NORWOOD, Charles W., Jr.","NORWOOD, Charles W., Jr.","DEAL, John Nathan","GRAVES, Tom","GRAVES, Tom","COLLINS, Doug","COLLINS, Doug","COLLINS, Doug","COLLINS, Doug","CLYDE, Andrew S.",200,200,200,200,200,200,200,200,200,200,200,0.581,0.533,0.533,0.581,0.716,0.716,0.61,0.61,0.61,0.61,0.776
"118","HI",2,"MINK, Patsy Takemoto","CASE, Ed","CASE, Ed","HIRONO, Mazie","HIRONO, Mazie","HIRONO, Mazie","GABBARD, Tulsi","GABBARD, Tulsi","GABBARD, Tulsi","GABBARD, Tulsi","KAHELE, Kaialiʻi",100,100,100,100,100,100,100,100,100,100,100,-0.513,-0.196,-0.196,-0.512,-0.512,-0.512,-0.274,-0.274,-0.274,-0.274,-0.409
"119","HI",1,"ABERCROMBIE, Neil","ABERCROMBIE, Neil","ABERCROMBIE, Neil","ABERCROMBIE, Neil","ABERCROMBIE, Neil","HANABUSA, Colleen","HANABUSA, Colleen","HANABUSA, Colleen","HANABUSA, Colleen","CASE, Ed","CASE, Ed",100,100,100,100,100,100,100,100,100,100,100,-0.432,-0.432,-0.432,-0.432,-0.432,-0.37,-0.37,-0.37,-0.37,-0.196,-0.196
"120","ID",1,"OTTER, C. L. (Butch)","OTTER, C. L. (Butch)","OTTER, C. L. (Butch)","SALI, William","MINNICK, Walt","LABRADOR, Raúl R.","LABRADOR, Raúl R.","LABRADOR, Raúl R.","LABRADOR, Raúl R.","FULCHER, Russell","FULCHER, Russell",200,200,200,200,100,200,200,200,200,200,200,0.692,0.692,0.692,0.639,0.088,0.735,0.735,0.735,0.735,0.637,0.637
"121","ID",2,"SIMPSON, Michael K.","SIMPSON, Michael K.","SIMPSON, Michael K.","SIMPSON, Michael K.","SIMPSON, Michael K.","SIMPSON, Michael K.","SIMPSON, Michael K.","SIMPSON, Michael K.","SIMPSON, Michael K.","SIMPSON, Michael K.","SIMPSON, Michael K.",200,200,200,200,200,200,200,200,200,200,200,0.297,0.297,0.297,0.297,0.297,0.297,0.297,0.297,0.297,0.297,0.297
"122","IL",8,"CRANE, Philip Miller","CRANE, Philip Miller","BEAN, Melissa L.","BEAN, Melissa L.","BEAN, Melissa L.","WALSH, Joe","DUCKWORTH, Tammy","DUCKWORTH, Tammy","KRISHNAMOORTHI, S. Raja","KRISHNAMOORTHI, S. Raja","KRISHNAMOORTHI, S. Raja",200,200,100,100,100,200,100,100,100,100,100,0.739,0.739,-0.155,-0.155,-0.155,0.708,-0.335,-0.335,-0.318,-0.318,-0.318
"123","IL",6,"HYDE, Henry John","HYDE, Henry John","HYDE, Henry John","ROSKAM, Peter","ROSKAM, Peter","ROSKAM, Peter","ROSKAM, Peter","ROSKAM, Peter","ROSKAM, Peter","CASTEN, Sean","CASTEN, Sean",200,200,200,200,200,200,200,200,200,100,100,0.312,0.312,0.312,0.429,0.429,0.429,0.429,0.429,0.429,-0.571,-0.571
"124","IL",17,"EVANS, Lane Allen","EVANS, Lane Allen","EVANS, Lane Allen","HARE, Phil","HARE, Phil","SCHILLING, Bobby","BUSTOS, Cheri","BUSTOS, Cheri","BUSTOS, Cheri","BUSTOS, Cheri","BUSTOS, Cheri",100,100,100,100,100,200,100,100,100,100,100,-0.454,-0.454,-0.454,-0.38,-0.38,0.364,-0.238,-0.238,-0.238,-0.238,-0.238
"125","IL",3,"LIPINSKI, William Oliver","LIPINSKI, William Oliver","LIPINSKI, Daniel","LIPINSKI, Daniel","LIPINSKI, Daniel","LIPINSKI, Daniel","LIPINSKI, Daniel","LIPINSKI, Daniel","LIPINSKI, Daniel","LIPINSKI, Daniel","NEWMAN, Marie",100,100,100,100,100,100,100,100,100,100,100,-0.176,-0.176,-0.227,-0.227,-0.227,-0.227,-0.227,-0.227,-0.227,-0.227,-0.619
